txn_id,applicant_id,txn_hour,is_new_device,txn_amount_inr,channel,isolation_prediction,flagged_anomaly
BTXN5000,APP1126,15,0,199,P2P,1,False
BTXN5001,APP1167,22,0,499,P2P,1,False
BTXN5002,APP1079,18,0,1999,P2P,1,False
BTXN5003,APP1293,18,1,999,P2M,-1,True
BTXN5004,APP1332,12,0,199,P2P,1,False
BTXN5005,APP1125,15,0,199,P2M,1,False
BTXN5006,APP1342,7,0,199,P2M,1,False
BTXN5007,APP1309,9,0,199,P2P,1,False
BTXN5008,APP1149,11,0,199,P2M,1,False
BTXN5009,APP1015,11,0,499,P2P,1,False
BTXN5010,APP1027,22,1,199,P2P,-1,True
BTXN5011,APP1172,19,0,199,P2P,1,False
BTXN5012,APP1045,16,0,499,P2P,1,False
BTXN5013,APP1327,7,1,199,P2M,1,False
BTXN5014,APP1235,8,0,199,P2M,1,False
BTXN5015,APP1213,16,0,499,P2P,1,False
BTXN5016,APP1084,11,0,199,P2M,1,False
BTXN5017,APP1281,19,0,499,P2P,1,False
BTXN5018,APP1231,21,0,199,P2M,1,False
BTXN5019,APP1084,12,0,999,P2P,1,False
BTXN5020,APP1064,13,0,1999,P2P,1,False
BTXN5021,APP1133,21,0,999,P2P,1,False
BTXN5022,APP1150,12,0,499,P2P,1,False
BTXN5023,APP1114,14,0,1999,P2M,1,False
BTXN5024,APP1063,18,0,999,P2M,1,False
BTXN5025,APP1342,6,0,199,P2P,1,False
BTXN5026,APP1362,13,0,499,P2M,1,False
BTXN5027,APP1351,9,0,1999,P2M,1,False
BTXN5028,APP1157,8,0,499,P2M,1,False
BTXN5029,APP1076,8,0,199,P2P,1,False
BTXN5030,APP1145,18,0,999,P2M,1,False
BTXN5031,APP1342,13,0,1999,P2M,1,False
BTXN5032,APP1224,12,0,199,P2M,1,False
BTXN5033,APP1312,6,0,499,P2P,1,False
BTXN5034,APP1102,21,0,199,P2P,1,False
BTXN5035,APP1346,11,0,999,P2P,1,False
BTXN5036,APP1300,12,0,199,P2M,1,False
BTXN5037,APP1087,17,0,499,P2M,1,False
BTXN5038,APP1370,14,0,1999,P2P,1,False
BTXN5039,APP1302,16,0,499,P2M,1,False
BTXN5040,APP1167,15,0,999,P2M,1,False
BTXN5041,APP1169,6,0,499,P2M,1,False
BTXN5042,APP1134,9,0,199,P2M,1,False
BTXN5043,APP1049,10,0,999,P2M,1,False
BTXN5044,APP1339,14,0,199,P2P,1,False
BTXN5045,APP1346,22,0,499,P2M,1,False
BTXN5046,APP1133,8,0,199,P2P,1,False
BTXN5047,APP1346,21,0,999,P2P,1,False
BTXN5048,APP1136,10,0,3999,P2P,1,False
BTXN5049,APP1244,21,0,3999,P2P,1,False
BTXN5050,APP1108,8,0,499,P2P,1,False
BTXN5051,APP1312,20,0,199,P2P,1,False
BTXN5052,APP1286,8,0,499,P2M,1,False
BTXN5053,APP1020,19,0,1999,P2P,1,False
BTXN5054,APP1089,21,0,199,P2M,1,False
BTXN5055,APP1295,22,0,3999,P2P,1,False
BTXN5056,APP1111,19,0,499,P2M,1,False
BTXN5057,APP1300,20,0,3999,P2M,1,False
BTXN5058,APP1076,20,0,1999,P2P,1,False
BTXN5059,APP1176,11,0,1999,P2M,1,False
BTXN5060,APP1342,20,0,499,P2M,1,False
BTXN5061,APP1147,9,0,199,P2M,1,False
BTXN5062,APP1100,13,0,499,P2M,1,False
BTXN5063,APP1245,20,0,499,P2M,1,False
BTXN5064,APP1116,8,0,199,P2M,1,False
BTXN5065,APP1091,20,0,499,P2M,1,False
BTXN5066,APP1027,18,0,499,P2P,1,False
BTXN5067,APP1024,14,0,999,P2M,1,False
BTXN5068,APP1057,7,0,999,P2P,1,False
BTXN5069,APP1296,13,0,199,P2M,1,False
BTXN5070,APP1133,22,0,3999,P2P,1,False
BTXN5071,APP1330,18,0,199,P2M,1,False
BTXN5072,APP1248,6,0,499,P2M,1,False
BTXN5073,APP1037,7,1,499,P2P,1,False
BTXN5074,APP1389,20,0,1999,P2P,1,False
BTXN5075,APP1074,17,0,199,P2M,1,False
BTXN5076,APP1141,19,0,499,P2M,1,False
BTXN5077,APP1321,7,0,999,P2M,1,False
BTXN5078,APP1167,12,0,199,P2P,1,False
BTXN5079,APP1258,11,0,999,P2M,1,False
BTXN5080,APP1372,19,0,1999,P2M,1,False
BTXN5081,APP1354,13,1,3999,P2P,-1,True
BTXN5082,APP1224,7,0,199,P2P,1,False
BTXN5083,APP1151,22,0,199,P2M,1,False
BTXN5084,APP1018,10,0,499,P2P,1,False
BTXN5085,APP1145,19,0,499,P2P,1,False
BTXN5086,APP1240,8,0,199,P2M,1,False
BTXN5087,APP1371,10,0,199,P2P,1,False
BTXN5088,APP1380,21,0,3999,P2M,1,False
BTXN5089,APP1343,22,0,1999,P2P,1,False
BTXN5090,APP1236,16,0,199,P2M,1,False
BTXN5091,APP1034,22,0,499,P2M,1,False
BTXN5092,APP1189,21,0,499,P2P,1,False
BTXN5093,APP1000,7,0,199,P2M,1,False
BTXN5094,APP1152,9,0,999,P2P,1,False
BTXN5095,APP1125,12,0,999,P2M,1,False
BTXN5096,APP1344,7,0,1999,P2M,1,False
BTXN5097,APP1399,11,0,999,P2M,1,False
BTXN5098,APP1225,22,0,499,P2M,1,False
BTXN5099,APP1220,12,0,999,P2P,1,False
BTXN5100,APP1210,10,0,199,P2M,1,False
BTXN5101,APP1024,10,0,999,P2P,1,False
BTXN5102,APP1015,21,0,499,P2P,1,False
BTXN5103,APP1181,14,0,199,P2M,1,False
BTXN5104,APP1328,10,0,199,P2P,1,False
BTXN5105,APP1128,13,0,199,P2M,1,False
BTXN5106,APP1041,14,0,1999,P2P,1,False
BTXN5107,APP1335,10,0,199,P2M,1,False
BTXN5108,APP1235,15,0,199,P2P,1,False
BTXN5109,APP1359,7,1,499,P2P,1,False
BTXN5110,APP1033,14,0,999,P2M,1,False
BTXN5111,APP1344,16,0,199,P2M,1,False
BTXN5112,APP1380,9,0,3999,P2M,1,False
BTXN5113,APP1044,7,0,1999,P2P,1,False
BTXN5114,APP1133,11,0,499,P2P,1,False
BTXN5115,APP1020,19,0,999,P2M,1,False
BTXN5116,APP1121,6,0,199,P2M,1,False
BTXN5117,APP1069,12,0,499,P2P,1,False
BTXN5118,APP1351,6,0,999,P2M,1,False
BTXN5119,APP1360,6,0,199,P2M,1,False
BTXN5120,APP1047,6,0,199,P2M,1,False
BTXN5121,APP1038,9,0,999,P2M,1,False
BTXN5122,APP1286,9,0,199,P2M,1,False
BTXN5123,APP1009,16,0,3999,P2P,1,False
BTXN5124,APP1029,6,1,199,P2P,1,False
BTXN5125,APP1243,15,0,999,P2M,1,False
BTXN5126,APP1273,14,0,499,P2M,1,False
BTXN5127,APP1087,9,0,999,P2M,1,False
BTXN5128,APP1243,11,0,499,P2P,1,False
BTXN5129,APP1380,21,0,499,P2M,1,False
BTXN5130,APP1328,7,1,1999,P2M,1,False
BTXN5131,APP1014,15,0,499,P2P,1,False
BTXN5132,APP1003,22,0,499,P2P,1,False
BTXN5133,APP1190,18,0,499,P2M,1,False
BTXN5134,APP1167,18,0,999,P2M,1,False
BTXN5135,APP1008,22,0,499,P2P,1,False
BTXN5136,APP1108,10,0,3999,P2M,1,False
BTXN5137,APP1136,16,0,199,P2M,1,False
BTXN5138,APP1153,12,0,499,P2M,1,False
BTXN5139,APP1387,15,0,999,P2P,1,False
BTXN5140,APP1208,22,0,999,P2M,1,False
BTXN5141,APP1271,20,0,1999,P2P,1,False
BTXN5142,APP1142,7,0,3999,P2M,1,False
BTXN5143,APP1098,9,0,499,P2P,1,False
BTXN5144,APP1376,8,0,199,P2M,1,False
BTXN5145,APP1307,12,0,199,P2P,1,False
BTXN5146,APP1068,15,0,999,P2M,1,False
BTXN5147,APP1246,12,0,1999,P2M,1,False
BTXN5148,APP1260,13,0,199,P2P,1,False
BTXN5149,APP1275,11,0,199,P2M,1,False
BTXN5150,APP1078,6,0,199,P2P,1,False
BTXN5151,APP1145,9,0,1999,P2P,1,False
BTXN5152,APP1110,19,0,499,P2M,1,False
BTXN5153,APP1257,22,0,499,P2P,1,False
BTXN5154,APP1092,16,0,499,P2M,1,False
BTXN5155,APP1012,19,0,1999,P2M,1,False
BTXN5156,APP1259,14,0,999,P2M,1,False
BTXN5157,APP1108,20,1,999,P2P,-1,True
BTXN5158,APP1329,17,0,199,P2M,1,False
BTXN5159,APP1188,15,0,499,P2M,1,False
BTXN5160,APP1094,11,0,999,P2P,1,False
BTXN5161,APP1104,11,0,3999,P2M,1,False
BTXN5162,APP1007,13,0,199,P2P,1,False
BTXN5163,APP1066,6,0,199,P2M,1,False
BTXN5164,APP1190,22,0,199,P2P,1,False
BTXN5165,APP1365,22,0,499,P2M,1,False
BTXN5166,APP1255,20,0,1999,P2M,1,False
BTXN5167,APP1008,12,0,199,P2P,1,False
BTXN5168,APP1116,8,0,499,P2P,1,False
BTXN5169,APP1266,16,0,499,P2M,1,False
BTXN5170,APP1098,14,0,199,P2M,1,False
BTXN5171,APP1297,15,0,499,P2P,1,False
BTXN5172,APP1396,7,0,199,P2P,1,False
BTXN5173,APP1163,6,0,499,P2M,1,False
BTXN5174,APP1375,21,0,999,P2M,1,False
BTXN5175,APP1140,22,0,499,P2M,1,False
BTXN5176,APP1267,11,0,199,P2M,1,False
BTXN5177,APP1036,19,0,3999,P2P,1,False
BTXN5178,APP1073,20,0,999,P2M,1,False
BTXN5179,APP1072,19,0,999,P2M,1,False
BTXN5180,APP1307,8,0,199,P2P,1,False
BTXN5181,APP1198,17,0,199,P2M,1,False
BTXN5182,APP1129,7,0,199,P2M,1,False
BTXN5183,APP1245,8,0,199,P2P,1,False
BTXN5184,APP1311,6,0,499,P2M,1,False
BTXN5185,APP1059,11,0,3999,P2P,1,False
BTXN5186,APP1278,10,0,499,P2M,1,False
BTXN5187,APP1102,6,0,199,P2M,1,False
BTXN5188,APP1295,6,0,499,P2P,1,False
BTXN5189,APP1319,21,0,199,P2P,1,False
BTXN5190,APP1340,17,0,999,P2M,1,False
BTXN5191,APP1150,13,0,499,P2M,1,False
BTXN5192,APP1156,21,0,999,P2M,1,False
BTXN5193,APP1205,6,0,3999,P2M,1,False
BTXN5194,APP1178,9,0,199,P2M,1,False
BTXN5195,APP1196,15,0,499,P2M,1,False
BTXN5196,APP1222,16,0,1999,P2M,1,False
BTXN5197,APP1088,22,0,999,P2P,1,False
BTXN5198,APP1286,12,0,499,P2M,1,False
BTXN5199,APP1275,17,0,3999,P2M,1,False
BTXN5200,APP1235,12,0,199,P2M,1,False
BTXN5201,APP1182,17,0,3999,P2M,1,False
BTXN5202,APP1208,20,0,199,P2M,1,False
BTXN5203,APP1129,7,0,499,P2M,1,False
BTXN5204,APP1152,19,0,1999,P2P,1,False
BTXN5205,APP1012,18,0,199,P2P,1,False
BTXN5206,APP1121,9,0,499,P2M,1,False
