merchant_id,merchant_name,category,transaction_count,total_gmv_inr
39,Merchant_039,entertainment,13,22687.0
13,Merchant_013,travel,12,18388.0
7,Merchant_007,food_delivery,16,15934.0
25,Merchant_025,travel,17,15533.0
27,Merchant_027,ecommerce,16,13584.0
10,Merchant_010,grocery,14,13086.0
29,Merchant_029,ecommerce,19,13081.0
17,Merchant_017,grocery,13,13037.0
37,Merchant_037,entertainment,19,12931.0
19,Merchant_019,grocery,14,12836.0
22,Merchant_022,travel,16,12534.0
36,Merchant_036,entertainment,16,12534.0
16,Merchant_016,bill_payment,20,11130.0
11,Merchant_011,ecommerce,10,10940.0
12,Merchant_012,ecommerce,13,10387.0
33,Merchant_033,bill_payment,11,10339.0
34,Merchant_034,travel,16,10034.0
28,Merchant_028,ecommerce,10,9540.0
35,Merchant_035,recharge,14,9286.0
21,Merchant_021,food_delivery,14,8886.0
40,Merchant_040,entertainment,15,8735.0
3,Merchant_003,grocery,17,8233.0
32,Merchant_032,food_delivery,14,8086.0
30,Merchant_030,travel,17,7883.0
15,Merchant_015,travel,12,7838.0
6,Merchant_006,food_delivery,14,7436.0
8,Merchant_008,food_delivery,16,7434.0
18,Merchant_018,grocery,11,7089.0
14,Merchant_014,grocery,12,6488.0
5,Merchant_005,recharge,11,5839.0
26,Merchant_026,food_delivery,12,5188.0
9,Merchant_009,ecommerce,18,4982.0
31,Merchant_031,bill_payment,15,4835.0
38,Merchant_038,grocery,10,3940.0
2,Merchant_002,grocery,10,3640.0
24,Merchant_024,grocery,13,3587.0
23,Merchant_023,travel,10,3040.0
