transaction_id,user_id,signup_date,transaction_time,amount_inr,account_age_days
TXN200001,352,2025-12-31 12:00:00,2026-01-11 12:00:00,4999.0,11.0
TXN200009,360,2025-12-22 13:00:00,2026-01-13 13:00:00,1999.0,22.0
TXN200004,355,2026-01-05 12:00:00,2026-01-16 12:00:00,4999.0,11.0
TXN200014,365,2025-12-27 21:00:00,2026-01-18 21:00:00,1999.0,22.0
TXN200010,361,2026-01-11 07:00:00,2026-01-20 07:00:00,4999.0,9.0
TXN200002,353,2026-01-10 14:00:00,2026-01-21 14:00:00,1999.0,11.0
TXN200003,354,2025-12-29 19:00:00,2026-01-21 19:00:00,4999.0,23.0
TXN200013,364,2026-01-04 22:00:00,2026-01-22 22:00:00,999.0,18.0
TXN200011,362,2026-01-08 02:00:00,2026-01-23 02:00:00,4999.0,15.0
TXN200006,357,2026-01-19 11:00:00,2026-01-23 11:00:00,1999.0,4.0
TXN200012,363,2026-01-06 17:00:00,2026-01-23 17:00:00,999.0,17.0
TXN200008,359,2026-01-18 22:00:00,2026-01-25 22:00:00,2999.0,7.0
TXN200007,358,2026-01-06 05:00:00,2026-01-28 05:00:00,999.0,22.0
TXN200005,356,2026-01-18 07:00:00,2026-01-29 07:00:00,2999.0,11.0
TXN200000,351,2026-01-15 06:00:00,2026-01-30 06:00:00,1999.0,15.0
