merchant_id,merchant_name,region,transaction_count,total_gmv_inr
16,Merchant_016,West,20,11130.0
29,Merchant_029,North,19,13081.0
37,Merchant_037,South,19,12931.0
9,Merchant_009,North,18,4982.0
3,Merchant_003,East,17,8233.0
25,Merchant_025,South,17,15533.0
30,Merchant_030,West,17,7883.0
7,Merchant_007,East,16,15934.0
8,Merchant_008,North,16,7434.0
22,Merchant_022,South,16,12534.0
27,Merchant_027,North,16,13584.0
34,Merchant_034,South,16,10034.0
36,Merchant_036,East,16,12534.0
31,Merchant_031,East,15,4835.0
40,Merchant_040,South,15,8735.0
6,Merchant_006,South,14,7436.0
10,Merchant_010,West,14,13086.0
19,Merchant_019,North,14,12836.0
21,Merchant_021,East,14,8886.0
32,Merchant_032,West,14,8086.0
35,Merchant_035,East,14,9286.0
12,Merchant_012,East,13,10387.0
17,Merchant_017,North,13,13037.0
24,Merchant_024,North,13,3587.0
39,Merchant_039,North,13,22687.0
13,Merchant_013,East,12,18388.0
14,Merchant_014,East,12,6488.0
15,Merchant_015,North,12,7838.0
26,Merchant_026,East,12,5188.0
5,Merchant_005,South,11,5839.0
18,Merchant_018,West,11,7089.0
33,Merchant_033,East,11,10339.0
2,Merchant_002,West,10,3640.0
11,Merchant_011,North,10,10940.0
23,Merchant_023,North,10,3040.0
28,Merchant_028,South,10,9540.0
38,Merchant_038,East,10,3940.0
1,Merchant_001,South,9,10441.0
4,Merchant_004,East,9,6941.0
20,Merchant_020,East,9,4241.0
